ano,sigla_uf,rede,escolaridade,numero_docentes,prop_docentes_rais,rem_bruta_rais_1_quartil,rem_bruta_rais_mediana,rem_bruta_rais_media,rem_bruta_rais_3_quartil,rem_bruta_rais_desvio_padrao,carga_horaria_media_semanal,rem_media_40_horas_semanais
2014,MG,estadual,total,99912,98.38658,1524.45,1902.64,2147.587,2700.74,1035.43,24.28712,3536.998
2014,RJ,estadual,total,44517,97.22578,,,,,,,
2014,SP,estadual,total,173186,99.5092,1809.19,2399.58,2628.026,3257.44,1233.738,33.4825,3139.581
2014,PR,estadual,total,53589,99.59693,2038.09,2686.335,3104.833,3786.42,1703.81,27.57033,4504.6
2014,RS,estadual,total,50010,99.37612,1589.89,2009.12,2163.992,2480.81,914.1385,27.9383,3098.245
2014,SC,estadual,total,25128,99.59408,1575.06,2436.88,2547.644,3130.705,1188.248,25.93519,3929.248
2015,DF,estadual,total,21888,97.98977,5001.05,6701.79,6851.424,8898.84,2371.567,36.04393,7603.415
2015,GO,estadual,total,18461,99.69124,1756.52,3676.26,3448.364,4906.06,1668.194,39.21017,3517.826
2015,MS,estadual,total,12065,96.87526,2233.88,2898.638,3132.104,3840.97,1329.483,20.93261,5985.119
2015,MT,estadual,total,22168,97.97005,1253.33,2512.8,2488.163,3373.96,1438.5,39.99879,2488.238
2015,AL,estadual,total,6750,72.54815,1362.37,1472.46,1697.261,1839.12,908.6789,29.72505,2283.946
2015,BA,estadual,total,37329,78.09478,2153.17,4476.49,4364.331,6199.44,2332.626,33.73606,5174.678
2015,CE,estadual,total,19880,90.5835,1046.97,1546.122,1972.592,2809.4,1217.224,29.9698,2632.773
2015,MA,estadual,total,18990,96.37704,2226.02,2903.29,3077.682,3775.23,1524.606,23.8801,5155.224
2015,PB,estadual,total,15585,92.39012,920.5,1652.0,1648.509,2214.86,747.5521,30.01612,2196.832
2015,PE,estadual,total,22897,98.23994,1308.7,1792.42,2384.744,3104.59,1190.946,35.57095,2681.676
2015,PI,estadual,total,11796,90.19159,1390.55,2699.4,2291.562,3017.19,928.3254,32.72479,2801.011
2015,RN,estadual,total,8807,88.00954,2262.175,2536.32,2674.726,3016.354,597.7223,40.0,2674.726
